Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Loondog,86891702,20,105,0,No,6236755,3236755,13,1,24,No,7243833,3868833,13,1,19,Yes,19448866,12965116,14,3,25,Yes,20783400,12965116,14,1,23,Yes,16113342,12960922,5,0,7,Yes,17065506,12971967,6,0,7
Zuul,104813607,23,112,0,Yes,15244461,12444461,13,1,22,Yes,15700918,12450918,12,1,18,Yes,18260243,12458993,14,4,24,Yes,21114813,12461685,15,1,27,Yes,18078594,12458204,9,1,14,Yes,16414578,12461439,7,0,7
HeresWill,93614055,31,98,0,No,5397407,2897407,11,1,19,Yes,16408796,13033796,13,1,19,Yes,18840674,13039424,14,2,21,Yes,20918169,13032854,15,2,24,Yes,15466195,13044294,8,1,9,Yes,16582814,13044294,6,0,6
Eggnog889,103456407,12,105,1,Yes,15451982,12451982,14,1,24,Yes,15330637,12455637,11,1,15,Yes,17903661,12459911,14,3,22,Yes,19323502,12492406,14,1,22,Yes,17133037,12499835,8,0,13,Yes,18313588,12502342,6,0,9
Recurve,101147471,22,99,0,Yes,15382831,12382831,14,0,24,Yes,15382831,12382831,12,1,16,Yes,18195266,12394016,13,3,21,Yes,20212300,12394016,13,1,23,Yes,17520812,12394016,7,0,12,Yes,14453431,12395693,3,0,3
Col Mustard,108252414,28,106,0,Yes,16625103,13225103,14,1,25,Yes,16101493,13226493,12,1,15,Yes,19029641,13228391,14,3,24,Yes,20057139,13226043,12,0,22,Yes,18878957,13225661,10,0,14,Yes,17560081,13229617,5,0,6
Linky Triforce,116201338,34,134,2,Yes,16079995,13079995,14,1,24,Yes,16210857,13085857,14,1,20,Yes,19733067,13086817,15,4,26,Yes,22727045,13086729,17,1,31,Yes,19660035,13089751,11,2,16,Yes,21790339,13092117,10,0,17
Kimbo,97541037,42,113,0,No,6334082,3534082,13,0,22,Yes,16407096,12657096,12,1,19,Yes,18794936,12652436,14,4,23,Yes,20967942,12656064,16,1,25,Yes,18496393,12656628,10,0,15,Yes,16540588,12666424,7,0,9
Findaddy17,103905115,48,102,0,Yes,16115566,12815566,14,1,24,Yes,15949781,12824781,13,1,17,Yes,18774074,12826574,14,3,22,Yes,20164551,12856111,14,1,24,Yes,16236681,12856111,8,1,7,Yes,16664462,12856111,7,0,8
Phatphil,92665753,38,124,5,No,7038812,3738812,14,0,24,No,7114899,3864899,12,1,18,Yes,19162592,12337592,15,3,27,Yes,20994479,12341351,15,1,27,Yes,19477962,12343884,11,0,17,Yes,18877009,12344019,7,0,11
Zhangster,114231461,37,125,1,Yes,16398158,12998158,14,1,25,Yes,16750987,13000987,12,1,19,Yes,19485567,13001817,14,4,25,Yes,21653966,13000838,15,1,27,Yes,20101920,13000748,10,0,17,Yes,19840863,13000748,8,0,12
Gorm Tyo,94987073,33,101,0,No,6414364,3414364,13,1,24,Yes,15630767,12630767,11,1,16,Yes,17761949,12643199,13,4,20,Yes,20627274,12646490,14,1,24,Yes,17276530,12652103,8,0,11,Yes,17276189,12656150,6,0,6
Kyle Katarn,120640811,112,126,1,Yes,17320071,14320071,14,1,24,Yes,17694970,14319970,14,1,19,Yes,20966319,14320069,15,4,26,Yes,23480919,14334197,16,1,29,Yes,20448282,14334298,11,2,16,Yes,20730250,14342048,9,0,12
Jade,99709135,19,97,0,Yes,14041843,12041843,10,0,20,Yes,15791842,12041842,12,1,19,Yes,17160592,12041842,14,3,20,Yes,19397001,12041842,13,0,20,Yes,17664510,12044120,8,1,14,Yes,15653347,12044627,3,0,4
Rodger,105142937,12,103,0,Yes,15890673,12490673,14,1,25,Yes,14989273,12489273,11,1,15,Yes,18460310,12496560,14,3,22,Yes,20032478,12555444,14,1,21,Yes,17679986,12553190,7,0,12,Yes,18090217,12553190,6,0,8
STPunisher,107213378,34,113,2,Yes,16242717,12842717,14,1,25,Yes,16075151,12825151,13,1,18,Yes,19314794,12831044,14,4,25,Yes,20812673,12831889,15,1,24,Yes,15526770,12830650,9,1,10,Yes,19241273,12936433,7,0,11
B to the Rian,87694132,6,78,1,No,74749,74749,0,0,0,Yes,15587908,12337908,12,1,18,Yes,17470030,12351280,14,3,20,Yes,19515409,12343063,12,1,21,Yes,17543040,12416244,7,0,12,Yes,17502996,12413494,6,0,7
Климент Б,88148467,19,82,0,No,177240,177240,0,0,0,Yes,15893326,12643326,12,1,18,Yes,18446477,12645227,14,3,24,Yes,20192334,12648269,14,1,22,Yes,16334614,12655694,6,0,9,Yes,17104476,12657743,7,0,9
The Fallen,107941720,22,113,0,Yes,15594246,12594246,14,0,24,Yes,15845408,12595408,12,1,18,Yes,18737805,12595305,14,3,23,Yes,20413890,12595606,15,1,23,Yes,18215752,12595362,8,1,14,Yes,19134619,12601629,7,0,11
Mace Marauder,95484374,35,97,0,No,411333,411333,0,1,0,Yes,16584728,13084728,12,1,20,Yes,19373478,13084728,15,4,24,Yes,21695200,13084728,16,1,28,Yes,18214030,13087234,9,0,12,Yes,19205605,13087234,9,0,13
Marl Jewel,105545064,11,101,0,Yes,15829291,12829291,13,1,24,Yes,16080994,12830994,11,1,18,Yes,19319746,12835996,14,3,25,Yes,19860221,12836156,15,1,19,Yes,16791846,12838707,5,0,7,Yes,17662966,12838908,5,0,8
mini mojo2,105395664,21,113,0,Yes,15819841,12419841,14,1,25,Yes,15669841,12419841,12,1,18,Yes,17883257,12423257,14,4,22,Yes,20623494,12423335,15,1,25,Yes,18046124,12425734,8,1,14,Yes,17353107,12450074,6,0,9
BLUE POGO,109566224,10,120,1,Yes,15756052,12456052,14,1,24,Yes,15845379,12470379,13,1,19,Yes,18959560,12475810,14,4,25,Yes,20895355,12516446,16,1,26,Yes,19071781,12519047,10,1,15,Yes,19038097,12559951,8,0,11
Cliquor,112405614,24,123,0,Yes,16080573,13080573,14,1,24,Yes,16328327,13078327,11,1,18,Yes,18889567,13088317,14,4,24,Yes,21964616,13092113,16,1,28,Yes,19733328,13092844,11,1,18,Yes,19409203,13104363,7,0,11
Otnip,101087364,15,95,0,Yes,15636296,12336296,14,0,24,Yes,15339599,12339599,12,1,16,Yes,17283497,12343497,13,3,20,Yes,18410934,12343588,13,1,18,Yes,16258518,12347060,7,0,8,Yes,18158520,12347274,6,0,9
Raynorel,119862144,46,137,2,Yes,17093529,13693529,14,1,25,Yes,16698680,13698680,14,1,19,Yes,20523742,13698742,15,4,27,Yes,23065282,13699185,17,1,30,Yes,20304821,13706018,13,2,19,Yes,22176090,13706018,10,0,17
Legion of Boom,80189537,34,85,0,No,1239646,739646,3,1,5,No,3935757,1935757,7,1,11,Yes,17479633,12555883,13,3,21,Yes,20866716,12554838,15,1,25,Yes,18067734,12554838,11,0,14,Yes,18600051,12560655,6,0,9
Ob1kin0be,82284313,34,75,3,No,2827916,2027916,3,0,2,No,6462080,3587080,11,1,15,Yes,18161055,12376055,13,2,21,Yes,19530574,12384634,13,1,20,Yes,17513058,12386262,8,0,9,Yes,17789630,12393003,6,0,8
Scarif Moses,113723409,72,114,1,Yes,16739693,13539693,14,1,23,Yes,16666904,13541904,14,1,17,Yes,19686681,13544181,15,4,26,Yes,21167168,13543884,17,1,22,Yes,19383666,13543901,10,1,15,Yes,20079297,13546307,8,0,11
Wagz,79445241,41,84,4,No,723074,723074,0,1,0,No,6764402,3514402,12,1,18,Yes,18216109,12756109,14,4,22,Yes,20154792,12763071,15,1,25,Yes,16445104,12761796,7,1,11,Yes,17141760,12774002,6,0,8
Marka Ragnos Σ,118628145,46,128,1,Yes,17049338,14049338,14,1,24,Yes,17796587,14046587,14,1,22,Yes,20873885,14048885,15,4,27,Yes,21664251,14053155,16,1,26,Yes,21643515,14048749,11,1,19,Yes,19600569,14054767,6,0,10
Jsmith9090,89417016,53,81,1,No,517046,517046,0,0,0,Yes,15459019,12334019,12,1,17,Yes,17961017,12338517,14,4,23,Yes,19879593,12335528,14,1,22,Yes,18449521,12335537,8,0,13,Yes,17150820,12335537,5,0,6
Lhysa,99973637,63,106,0,Yes,15066197,12266197,14,0,22,Yes,14942861,12192861,12,1,17,Yes,18514512,12225762,15,4,26,Yes,18379660,12194502,14,1,23,Yes,17628471,12194550,9,0,13,Yes,15441936,12210541,6,0,5
KingChris,88935785,23,79,0,No,610209,410209,1,1,2,Yes,15685710,12685710,11,1,16,Yes,18153912,12693912,13,4,22,Yes,19783490,12692394,13,1,20,Yes,18085696,12693456,8,0,14,Yes,16616768,12700923,5,0,5
Rosey,88866595,30,80,0,No,1477778,777778,4,0,7,Yes,15750370,12500370,12,1,18,Yes,18127674,12505174,13,3,20,Yes,20046273,12502208,15,1,22,Yes,16861664,12502681,9,0,9,Yes,16602836,12509297,5,0,4
Lamplighter,102687621,9,101,1,Yes,15828229,12828229,14,0,24,Yes,15709191,12834191,13,1,15,Yes,17593403,12832153,14,4,21,Yes,18353745,12840931,14,1,20,Yes,17912883,12840931,9,0,12,Yes,17290170,12843437,7,0,9
Soup888,99888680,9,77,0,Yes,12618742,12618742,0,1,0,Yes,15868742,12618742,12,1,18,Yes,17201749,12619249,13,3,19,Yes,19762329,12626545,15,1,23,Yes,17479122,12626545,8,1,11,Yes,16957996,12627532,5,0,6
Rolfey81,103189738,50,102,0,Yes,15982142,12582142,14,0,25,Yes,15829847,12579847,13,1,18,Yes,18738580,12596080,14,2,23,Yes,19228256,12604348,14,2,22,Yes,15701924,12604348,5,0,7,Yes,17708989,12619487,5,0,7
