Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Suggil,94155008,24,92,0,No,37849,37849,0,0,0,Yes,16267659,13017659,12,1,18,Yes,19502514,13018764,14,4,25,Yes,21330920,13019042,15,1,25,Yes,19352158,13018799,12,1,17,Yes,17663908,13026319,5,0,7
Fruitloops,85586749,19,79,0,No,0,0,0,0,0,Yes,15357317,12107317,12,1,18,Yes,18258113,12115613,13,3,23,Yes,19560112,12119640,14,1,23,Yes,15257288,12104868,6,0,7,Yes,17153919,12101711,5,0,8
Loondog,98599574,23,108,0,No,6926917,3926917,14,1,24,Yes,16365517,12990517,13,1,19,Yes,19476826,12993076,14,4,25,Yes,20878726,12993411,14,1,24,Yes,17626613,12993411,8,0,10,Yes,17324975,12994511,4,0,6
Zuul,103846748,20,107,0,Yes,15271559,12471559,13,1,22,Yes,15598419,12473419,12,1,17,Yes,18622146,12479646,14,4,23,Yes,20857915,12479006,15,1,26,Yes,18134310,12481014,11,1,14,Yes,15362399,12475423,4,0,5
HeresWill,106314859,26,104,0,Yes,15876972,13076972,14,1,22,Yes,16474459,13099459,13,1,19,Yes,18909801,13108551,14,2,24,Yes,21213241,13108551,15,2,25,Yes,18259478,13108551,11,1,10,Yes,15580908,13108551,4,0,4
Eggnog889,105569371,13,107,0,Yes,15831194,12531194,14,1,24,Yes,15550680,12550680,11,1,16,Yes,18697698,12555198,14,4,23,Yes,18509298,12549608,13,0,20,Yes,19376561,12549608,10,0,16,Yes,17603940,12551732,5,0,8
Recurve,104204047,16,108,0,Yes,15435281,12435281,14,0,24,Yes,15685800,12435800,12,1,18,Yes,18921858,12438108,14,3,25,Yes,20265572,12447288,14,1,23,Yes,18561272,12447288,8,0,13,Yes,15334264,12447288,4,0,5
Linky Triforce,116241723,51,132,0,Yes,16116524,13116524,14,1,24,Yes,16138427,13138427,14,1,19,Yes,19611889,13144389,15,4,25,Yes,22783657,13143341,17,1,31,Yes,21642245,13143654,13,2,20,Yes,19948981,13146160,8,0,13
Kimbo,108710971,30,118,0,Yes,15474657,12674657,13,0,22,Yes,16422033,12672033,12,1,19,Yes,18976777,12671777,14,4,24,Yes,21821577,12674855,16,1,29,Yes,19724272,12677944,11,0,17,Yes,16291655,12682935,5,0,7
Findaddy17,107221945,63,110,0,Yes,15772086,12872086,14,1,23,Yes,15764934,12889934,13,1,18,Yes,18690471,12889221,14,3,24,Yes,21674990,12981237,15,1,26,Yes,16763585,12889421,8,1,9,Yes,18555879,12889421,7,0,10
Phatphil,91521516,42,124,2,No,7251140,3851140,14,0,25,Yes,15913193,12413193,13,1,20,Yes,19239776,12414776,15,3,27,No,13265074,4611946,15,1,27,Yes,18382424,12417615,11,0,17,Yes,17469909,12417701,5,0,8
Zhangster,113241347,32,123,0,Yes,16517337,13117337,14,1,25,Yes,16368180,13118180,12,1,18,Yes,18934460,13133210,14,4,24,Yes,21785257,13132129,15,1,27,Yes,20727172,13132406,11,0,19,Yes,18908941,13134989,6,0,10
Gorm Tyo,106988832,21,109,0,Yes,15686715,12686715,14,1,24,Yes,15687444,12687444,11,1,16,Yes,19173131,12689381,14,4,25,Yes,20847765,12688231,14,1,25,Yes,18573308,12687474,9,0,13,Yes,17020469,12690005,4,0,6
Kyle Katarn,122584002,120,127,1,Yes,17659483,14359483,14,1,24,Yes,17867974,14367974,14,1,20,Yes,20673073,14368073,15,4,24,Yes,23514795,14368073,16,1,29,Yes,21282970,14368267,12,2,16,Yes,21585707,14368267,9,0,14
Jade,87508287,7,83,0,No,0,0,0,0,0,Yes,15320314,12070314,12,1,18,Yes,18554064,12070314,14,3,25,Yes,19655004,12070314,14,1,22,Yes,18403673,12070314,9,1,14,Yes,15575232,12074006,4,0,4
Rodger,107007778,8,106,0,Yes,15965337,12565337,14,1,25,Yes,16084940,12584940,11,1,17,Yes,18386835,12585585,13,3,21,Yes,20285548,12589139,14,1,22,Yes,18646025,12586885,9,0,13,Yes,17639093,12586885,5,0,8
STPunisher,106457215,42,107,3,Yes,16139520,12839520,14,1,24,Yes,15981353,12856353,13,1,17,Yes,17978911,12876411,14,4,20,Yes,21527028,12873900,16,1,27,Yes,18036241,12872151,10,1,14,Yes,16794162,12878317,5,0,5
B to the Rian,98824435,7,93,0,Yes,15439250,12439250,14,0,24,Yes,15713642,12463642,12,1,18,Yes,18954719,12470969,14,3,25,Yes,17441303,12468801,11,1,16,Yes,15199696,12461895,4,0,6,Yes,16075825,12467105,4,0,4
Климент Б,102989335,18,98,0,Yes,16011028,12711028,14,0,24,Yes,15960647,12710647,12,1,18,Yes,18856847,12714347,14,3,23,Yes,18637475,12714347,9,1,15,Yes,18334737,12714347,8,0,14,Yes,15188601,12716244,4,0,4
The Fallen,109779397,36,119,0,Yes,16011277,12611277,14,0,25,Yes,15865996,12615996,12,1,18,Yes,19121136,12637386,14,3,25,Yes,20801712,12642178,15,1,25,Yes,19249443,12641865,9,1,15,Yes,18729833,12648756,7,0,11
Mace Marauder,96193679,21,103,0,No,174350,174350,0,1,0,Yes,16621913,13121913,13,1,20,Yes,19946913,13121913,15,4,27,Yes,22268635,13121913,16,1,29,Yes,19007747,13121913,12,2,16,Yes,18174121,13121913,7,0,11
Marl Jewel,104030581,9,102,0,Yes,15652533,12852533,12,1,22,Yes,15979431,12854431,12,1,17,Yes,19164604,12859604,14,4,24,Yes,19867926,12860111,14,1,21,Yes,17611587,12862116,9,0,13,Yes,15754500,12867524,4,0,5
mini mojo2,96304148,16,112,0,No,6882899,3882899,14,1,24,Yes,16200800,12450800,12,1,19,Yes,18934550,12450800,14,4,25,Yes,21103928,12450800,15,1,27,Yes,16809783,12450800,8,1,12,Yes,16372188,12456343,4,0,5
BLUE POGO,105493030,12,114,0,Yes,15916440,12616440,14,1,24,Yes,15756270,12631270,13,1,17,Yes,18446328,12645078,14,4,24,Yes,21247457,12649173,16,1,27,Yes,18262710,12659870,11,1,16,Yes,15863825,12669724,5,0,6
Cliquor,102213442,23,121,0,No,6970651,3970651,14,1,24,Yes,16500215,13125215,12,1,19,Yes,18939531,13138281,14,4,24,Yes,21845138,13151385,16,1,27,Yes,19752251,13153448,13,1,19,Yes,18205656,13153448,5,0,8
Otnip,102346115,16,97,0,Yes,15796302,12396302,14,0,25,Yes,15541065,12416065,12,1,17,Yes,17357653,12417653,14,3,20,Yes,19146626,12413030,15,1,18,Yes,18477163,12418023,10,0,13,Yes,16027306,12418586,4,0,4
Raynorel,119431811,39,138,0,Yes,17106671,13706671,14,1,25,Yes,16831671,13706671,14,1,20,Yes,20365424,13719174,15,4,26,Yes,23101150,13735053,17,1,30,Yes,21786119,13735053,15,2,22,Yes,20240776,13745080,9,0,15
Legion of Boom,82227417,37,92,0,No,3465337,1865337,7,1,13,No,3560524,1810524,6,1,9,Yes,18095210,12635210,14,3,22,Yes,20671824,12634165,15,1,24,Yes,18748149,12634165,12,0,16,Yes,17686373,12634165,5,0,8
Ob1kin0be,87498746,27,72,1,No,113843,113843,0,0,0,Yes,15401953,12401953,11,1,16,Yes,18707139,12402139,14,2,24,Yes,18922960,12402645,11,1,16,Yes,17608506,12402735,7,0,10,Yes,16744345,12413881,4,0,6
Scarif Moses,113729787,81,118,2,Yes,16776378,13576378,14,1,23,Yes,16587879,13587879,14,1,19,Yes,20423831,13598831,15,4,27,Yes,22259582,13606454,16,1,27,Yes,19446219,13606454,11,1,15,Yes,18235898,13598309,6,0,7
Wagz,83202815,27,88,1,No,180380,180380,0,1,0,No,6846493,3596493,12,1,18,Yes,18738432,12790932,14,4,24,Yes,20956159,12796625,15,1,25,Yes,19352776,12800042,11,1,15,Yes,17128575,12798111,4,0,6
Marka Ragnos Σ,94056839,51,124,0,No,4187988,1987988,11,1,22,No,4539129,2039129,10,1,18,Yes,20939645,14114645,15,3,27,Yes,23227797,14081075,16,2,29,Yes,21298402,14118255,11,2,18,Yes,19863878,14089926,6,0,10
Jsmith9090,93304868,69,99,5,Yes,15255643,12355643,14,0,23,No,7088612,4088612,12,1,16,Yes,17847120,12387120,14,4,23,Yes,20209752,12391468,15,1,23,Yes,16071991,12388683,6,0,8,Yes,16831750,12501286,4,0,6
Lhysa,97278951,73,114,0,No,7637331,4737331,14,0,23,Yes,15524648,12274648,12,1,18,Yes,19105070,12280070,15,4,27,Yes,20176971,12291656,14,1,24,Yes,18933325,12292841,10,0,15,Yes,15901606,12292886,5,0,7
KingChris,87185587,30,105,1,No,5563852,2963852,11,1,20,No,6398141,3148141,11,1,18,Yes,19033911,12728911,14,4,24,Yes,20616503,12731188,14,1,24,Yes,18924147,12731188,11,0,14,Yes,16649033,12733188,4,0,5
Rosey,90707351,33,79,0,No,1820833,1020833,3,0,5,Yes,16284493,12534493,12,1,19,Yes,18505710,12541960,13,3,22,Yes,19334465,12539931,11,0,17,Yes,17888717,12542546,9,0,10,Yes,16873133,12542669,5,0,6
Lamplighter,108019918,16,114,0,Yes,15859901,12859901,14,0,24,Yes,16122398,12872398,14,1,18,Yes,19177806,12872806,14,4,24,Yes,19891269,12877360,15,1,22,Yes,20477295,12882529,11,0,19,Yes,16491249,12882529,5,0,7
Soup888,100347730,15,81,1,Yes,12850045,12650045,1,1,2,Yes,15651732,12651732,12,1,16,Yes,18259500,12653250,14,4,22,Yes,19669056,12655147,14,1,22,Yes,18033754,12687583,10,1,13,Yes,15883643,12689542,5,0,6
Rolfey81,87436434,25,82,0,No,1419000,719000,4,0,7,Yes,15689447,12689447,13,1,16,Yes,18447310,12662310,14,2,21,Yes,20206513,12662448,14,2,22,Yes,16841095,12664193,9,0,13,Yes,14833069,12667837,3,0,3
Leroy Jenkins,107430714,23,116,0,Yes,15637101,12637101,14,0,24,Yes,16043085,12668085,13,1,19,Yes,19151502,12667752,14,2,25,Yes,20016817,12667752,16,1,26,Yes,19275330,12667752,11,0,15,Yes,17306879,12669290,7,0,7
