Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Климент Б,108601029,17,119,0,Yes,16149373,12749373,14,0,25,Yes,15998267,12748267,12,1,18,Yes,19239046,12755296,14,3,25,Yes,21630076,12757573,16,1,28,Yes,20352541,12757775,11,0,19,Yes,15231726,12759369,4,0,4
The Fallen,107102341,27,117,0,Yes,15688588,12688588,14,0,24,Yes,15935504,12685504,12,1,18,Yes,18997303,12692303,14,3,24,Yes,21070664,12691755,15,1,26,Yes,18797519,12692310,12,1,17,Yes,16612763,12696918,6,0,8
Mace Marauder,111491815,23,120,0,Yes,16175320,13175320,14,1,24,Yes,16687707,13187707,13,1,20,Yes,19838268,13192018,15,4,26,Yes,20632490,13192018,15,1,23,Yes,20741855,13193158,12,2,18,Yes,17416175,13193205,7,0,9
Marl Jewel,94863045,7,93,1,No,3244129,1844129,5,1,8,Yes,16020207,12895207,11,1,17,Yes,19040115,12897615,14,4,23,Yes,21033592,12900464,14,1,24,Yes,18288553,12905088,10,0,15,Yes,17236449,12905985,4,0,6
mini mojo2,96243611,22,110,0,No,7216658,3916658,14,1,24,Yes,16251144,12501144,12,1,19,Yes,18307383,12506133,14,4,24,Yes,20764349,12507315,15,1,25,Yes,16866298,12507315,9,1,12,Yes,16837779,12507315,4,0,6
BLUE POGO,110553478,11,120,0,Yes,16129651,12729651,14,1,25,Yes,15978680,12728680,13,1,18,Yes,19038278,12733278,14,4,24,Yes,21548472,12743000,15,1,27,Yes,20061393,12740846,11,1,18,Yes,17797004,12744796,5,0,8
Cliquor,113230985,23,122,0,Yes,16592371,13192371,14,1,25,Yes,16569552,13194552,13,1,19,Yes,18996707,13195457,14,4,24,Yes,22001013,13195541,15,1,27,Yes,20806950,13212184,12,1,19,Yes,18264392,13212184,5,0,8
Otnip,103347376,17,100,0,Yes,15863557,12463557,14,0,25,Yes,15223732,12473732,12,1,14,Yes,17579506,12477006,14,3,21,Yes,19932305,12487771,15,1,23,Yes,18336059,12496294,10,0,12,Yes,16412217,12496372,4,0,5
Raynorel,120393388,62,139,0,Yes,16777925,13777925,14,1,24,Yes,16782725,13782725,14,1,19,Yes,20607725,13782725,15,4,27,Yes,21198177,13806456,17,1,28,Yes,22526030,13823420,14,2,23,Yes,22500806,13839878,10,0,18
Legion of Boom,89254530,34,78,0,No,295390,295390,0,1,0,Yes,15672309,12672309,10,1,16,Yes,17791723,12672973,14,3,20,Yes,21010391,12698513,15,1,25,Yes,17142543,12704585,9,0,10,Yes,17342174,12704585,5,0,7
Ob1kin0be,73662413,37,84,1,No,325322,325322,0,0,0,No,6338632,3588632,11,1,14,Yes,18939096,12455346,14,3,25,No,11896834,4078550,14,1,23,Yes,19063310,12455732,10,0,15,Yes,17099219,12461630,5,0,7
Scarif Moses,111846793,77,109,3,Yes,16851928,13651928,14,1,23,Yes,16902225,13652225,14,1,18,Yes,19794761,13652261,15,4,26,Yes,20743864,13652768,15,1,20,Yes,19986160,13652801,11,1,14,Yes,17567855,13652010,6,0,8
Wagz,86346303,62,90,1,No,1318203,1318203,0,1,0,Yes,16081684,12831684,12,1,18,Yes,18781674,12834174,14,4,24,No,12582031,4448903,15,1,24,Yes,19678728,12851775,10,1,16,Yes,17903983,12851775,5,0,8
Marka Ragnos Σ,117359679,52,123,0,Yes,17134533,14134533,14,1,24,Yes,17770053,14145053,14,1,21,Yes,20633626,14149876,15,4,25,Yes,21967779,14149495,15,1,26,Yes,20318242,14166964,11,2,18,Yes,19535446,14176113,6,0,9
Jsmith9090,79483213,47,88,7,No,473210,473210,0,0,0,No,6887443,3637443,12,1,18,Yes,18721880,12416880,14,4,24,No,18102934,10217619,15,1,24,Yes,19261269,12425541,9,0,15,Yes,16036477,12427757,5,0,7
Lhysa,106298054,80,114,0,Yes,15225914,12325914,14,0,23,Yes,15581025,12331025,12,1,18,Yes,18506409,12363909,15,4,26,Yes,20028818,12332409,14,1,22,Yes,19247157,12332454,10,0,16,Yes,17708731,12349398,6,0,9
KingChris,107158626,30,106,0,Yes,15788862,12788862,13,1,24,Yes,15921851,12796851,11,1,17,Yes,19105225,12800225,14,4,24,Yes,20276059,12799025,14,1,21,Yes,19351759,12799025,11,0,15,Yes,16714870,12799025,5,0,5
Rosey,91277346,31,91,0,No,1471816,771816,4,0,7,Yes,15568448,12568448,12,1,16,Yes,18715516,12573016,14,3,23,Yes,21375916,12570444,15,1,27,Yes,17240550,12570054,10,0,12,Yes,16905100,12574636,5,0,6
Lamplighter,108923455,22,116,0,Yes,16208830,12908830,14,0,24,Yes,16286723,12911723,14,1,19,Yes,19395604,12911854,14,4,25,Yes,19246332,12908830,14,1,23,Yes,20525134,12930368,11,0,19,Yes,17260832,12930368,4,0,6
Soup888,101164535,19,77,0,Yes,12714637,12714637,0,1,0,Yes,15465243,12715243,12,1,14,Yes,18676490,12728990,14,4,24,Yes,19760380,12746471,13,1,22,Yes,17463876,12751699,9,1,11,Yes,17083909,12753445,5,0,6
Rolfey81,103638073,24,103,0,Yes,15640559,12740559,14,0,23,Yes,15993316,12743316,13,1,18,Yes,19050720,12745720,14,2,24,Yes,20850963,12746273,15,2,25,Yes,17185377,12747419,7,0,10,Yes,14917138,12751906,3,0,3
Leroy Jenkins,105331463,13,98,0,Yes,13897862,12697862,6,0,9,Yes,15827853,12702853,13,1,17,Yes,19189785,12706035,14,2,25,Yes,19228373,12708058,14,1,23,Yes,19535106,12708153,11,0,16,Yes,17652484,12707770,7,0,8
