Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
BLUE POGO,114061587,7,126,0,Yes,16017247,13017247,14,1,24,Yes,16405801,13030801,13,1,19,Yes,19537814,13054064,14,4,25,Yes,21925599,13053096,16,1,28,Yes,20548653,13054800,12,1,18,Yes,19626473,13130777,7,0,12
Cliquor,96120560,24,94,0,No,346774,346774,0,1,0,Yes,16091054,13341054,11,1,17,Yes,18606959,13341959,14,4,23,Yes,21290364,13346142,16,1,26,Yes,20666002,13345455,12,1,18,Yes,19119407,13345455,6,0,10
Raynorel,124346683,41,143,0,Yes,17390336,13990336,14,1,25,Yes,16990336,13990336,14,1,19,Yes,20815336,13990336,15,4,27,Yes,23082214,13990336,17,1,29,Yes,23522184,13990336,14,2,25,Yes,22546277,13992843,11,0,18
Legion of Boom,75507171,36,73,0,No,606111,406111,1,1,2,No,1104614,604614,2,1,4,Yes,17771661,12831661,14,3,22,Yes,20155306,12830616,14,1,24,Yes,18398718,12833172,11,1,14,Yes,17470761,12833172,5,0,7
Ob1kin0be,92400760,28,86,4,No,3260155,1860155,5,0,8,Yes,15604067,12604067,11,1,16,Yes,19095033,12611283,14,4,25,Yes,18952848,12611283,13,1,19,Yes,17817152,12611381,8,0,10,Yes,17671505,12619297,5,0,8
Scarif Moses,114725976,76,106,0,Yes,14496206,13796206,5,1,7,Yes,17296223,13796223,14,1,20,Yes,19939464,13796964,15,4,26,Yes,22602349,13796877,15,1,27,Yes,20502026,13949292,12,2,15,Yes,19889708,13808631,7,0,11
Wagz,77798765,63,91,1,No,1316345,1316345,0,1,0,No,6380574,3130574,11,1,18,Yes,19288012,12983012,14,4,24,No,12969315,4657437,15,1,25,Yes,19809632,12982679,11,1,16,Yes,18034887,12982679,5,0,8
Marka Ragnos Σ,120447445,56,127,1,Yes,17287039,14287039,14,1,24,Yes,18411490,14286490,14,1,22,Yes,19240939,14300939,15,3,23,Yes,23117562,14312090,15,2,27,Yes,22405981,14317621,12,2,21,Yes,19984434,14317976,7,0,10
Jsmith9090,95641458,97,113,3,Yes,15522976,12522976,14,0,24,No,7575572,4450572,12,1,17,Yes,19095309,12611559,14,4,25,Yes,21077429,12546176,15,1,26,Yes,18686886,12539996,10,0,13,No,13683286,9767441,6,0,8
Lhysa,106712651,30,112,0,Yes,15390576,12490576,14,0,23,Yes,15751165,12501165,12,1,18,Yes,18468284,12504534,15,4,25,Yes,20619878,12582219,14,1,24,Yes,18618657,12504673,10,0,13,Yes,17864091,12504758,6,0,9
KingChris,95902583,20,98,1,No,1399009,799009,3,1,6,Yes,16205515,12955515,11,1,18,Yes,19441017,12957267,14,4,25,Yes,20977993,12956584,15,1,24,Yes,20280321,12959774,11,1,18,Yes,17598728,12961139,5,0,7
Rosey,91280209,30,83,0,No,1821763,1221763,4,0,6,Yes,15559935,12684935,12,1,15,Yes,18318765,12696265,14,3,23,Yes,21224911,12693658,15,1,26,Yes,17330114,12696912,9,1,7,Yes,17024721,12694257,5,0,6
Lamplighter,105009276,25,107,0,Yes,16118771,13118771,14,0,24,Yes,16502932,13127932,14,1,19,Yes,18929233,13127983,14,4,24,Yes,20530057,13138336,15,1,25,Yes,16285351,13141706,7,0,8,Yes,16642932,13141706,6,0,7
Soup888,102272747,13,82,0,Yes,12859457,12859457,0,1,0,Yes,16112724,12862724,12,1,18,Yes,18127724,12862724,14,4,23,Yes,19873122,12865307,14,1,21,Yes,17066591,12865558,9,1,11,Yes,18233129,12873796,6,0,9
Rolfey81,108311020,25,110,0,Yes,16304096,12904096,14,1,25,Yes,15906015,12906015,12,1,16,Yes,19390233,12906483,14,4,25,Yes,20417094,12909591,14,1,24,Yes,19461640,12908906,10,0,15,Yes,16831942,12916097,4,0,5
Leroy Jenkins,104106382,20,84,0,Yes,12867739,12867739,0,0,0,Yes,15993191,12868191,13,1,17,Yes,18225306,12944056,14,3,22,Yes,19699652,12868556,13,1,22,Yes,19491679,12884101,11,0,15,Yes,17828815,12884101,7,0,8
