Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
GrandMasterToni,109478799,20,116,0,Yes,16047723,12747723,14,1,24,Yes,16271690,12771690,13,1,20,Yes,19083676,12778676,14,4,24,Yes,21089832,12777954,14,1,25,Yes,19877534,12776362,10,1,17,Yes,17108344,12777880,4,0,6
Suggil,86977885,15,94,0,No,310194,310194,0,1,0,Yes,16544901,13294901,11,1,18,Yes,19763468,13279718,14,4,25,No,11606869,4318741,15,1,23,Yes,20401254,13300082,11,1,20,Yes,18351199,13298991,5,0,8
Fruitloops,87189240,7,104,0,No,5599271,2999271,10,0,17,No,7086980,3836980,12,1,18,Yes,18937237,12453487,14,4,25,Yes,21261426,12455954,15,1,27,Yes,16085458,12448219,7,0,7,Yes,18218868,12444916,6,0,10
Loondog,87581473,20,93,0,No,177271,177271,0,1,0,Yes,16660298,13285298,13,1,19,Yes,20113296,13288296,15,4,27,No,12809566,4497688,15,1,25,Yes,19894634,13287056,10,0,15,Yes,17926408,13288819,5,0,7
Zuul,107163997,23,114,0,Yes,15609730,12809730,13,1,22,Yes,15815208,12815208,12,1,16,Yes,18620296,12819046,14,4,24,Yes,21354721,12823468,15,1,26,Yes,18614946,12821250,12,1,17,Yes,17149096,12818632,6,0,9
Eggnog889,109998763,40,115,0,Yes,16177271,12877271,14,1,24,Yes,15953624,12953624,11,1,16,Yes,19263019,12958019,14,4,24,Yes,21146660,12956657,15,1,24,Yes,20170389,12957336,12,0,18,Yes,17287800,12957336,7,0,9
Recurve,107853566,16,112,0,Yes,16241058,12941058,14,0,24,Yes,16318770,12943770,13,1,19,Yes,19446922,12963172,14,4,25,Yes,21771962,12966490,15,1,27,Yes,17492198,12966490,8,1,10,Yes,16582656,12973936,5,0,7
Linky Triforce,117498003,41,133,0,Yes,16508636,13508636,14,1,24,Yes,16638871,13513871,14,1,20,Yes,20165890,13519640,15,4,26,Yes,22818160,13519094,16,1,29,Yes,22063324,13518664,13,2,21,Yes,19303122,13529170,8,1,13
Kimbo,110670885,21,117,0,Yes,16283599,13083599,13,0,23,Yes,16334067,13084067,12,1,18,Yes,18720929,13098429,14,4,23,Yes,21908913,13103441,15,0,27,Yes,20698207,13103441,12,0,19,Yes,16725170,13116450,5,0,7
Findaddy17,101317820,41,107,0,Yes,14834673,13334673,8,1,15,No,4490687,2240687,10,1,16,Yes,19864831,13381081,14,3,25,Yes,22012416,13385694,14,1,25,Yes,20035036,13385777,10,1,13,Yes,20080177,13384850,9,0,13
Phatphil,76405315,41,125,1,No,6892198,3892198,14,0,24,No,7609595,4109595,13,1,20,No,10391433,4248933,15,4,26,No,13356735,5044857,14,1,25,Yes,19619432,12746410,12,0,20,Yes,18535922,12761970,6,0,10
Zhangster,113115451,40,118,0,Yes,16819814,13419814,14,1,25,Yes,16173455,13423455,12,1,17,Yes,19730080,13425080,14,4,24,Yes,21784977,13432474,15,1,25,Yes,19397283,13432474,11,0,17,Yes,19209842,13435890,6,0,10
Gorm Tyo,110845514,23,116,0,Yes,15977572,12977572,14,1,24,Yes,16228315,12978315,12,1,18,Yes,19466791,12983041,14,4,25,Yes,20535184,12991119,15,1,22,Yes,20588800,12994034,11,1,19,Yes,18048852,12996644,5,0,8
Kyle Katarn,123071046,90,133,0,Yes,18154646,14754646,14,1,25,Yes,17668748,14793748,14,1,18,Yes,21618986,14793986,15,4,27,Yes,22618237,14799953,15,1,26,Yes,20271230,14800015,14,2,18,Yes,22739199,14800015,12,0,19
Jade,90932570,14,88,0,No,0,0,0,0,0,Yes,16092091,12342091,12,1,19,Yes,18839812,12356062,14,4,25,Yes,20826703,12362481,15,1,25,Yes,18478742,12364758,9,1,13,Yes,16695222,12364758,4,0,6
Lionpride97,108168900,14,93,1,Yes,13275602,13275602,0,1,0,Yes,16401121,13276121,12,1,17,Yes,19581628,13276628,14,4,24,Yes,21135875,13276966,14,1,23,Yes,19863454,13405051,12,0,19,Yes,17911220,13273631,8,0,10
Rodger,106445232,10,107,0,Yes,16235006,12835006,14,1,25,Yes,15211315,12836315,11,1,14,Yes,19149267,12844267,14,4,24,Yes,20887544,12849885,14,1,24,Yes,17473927,12840725,9,0,13,Yes,17488173,12850584,5,0,7
STPunisher,112754272,39,120,2,Yes,16583190,13183190,14,1,25,Yes,16684888,13184888,13,1,20,Yes,19837330,13191080,15,4,26,Yes,21998501,13193029,15,1,27,Yes,19809645,13202067,9,1,15,Yes,17840718,13203129,5,0,7
B to the Rian,96534232,5,103,0,No,2532591,1332591,5,0,9,Yes,16191277,12816277,13,1,19,Yes,19226867,12743117,14,3,25,Yes,21371681,12744959,15,1,26,Yes,19838970,12737798,10,0,17,Yes,17372846,12735257,5,0,7
Климент Б,101948958,13,113,0,Yes,15190283,12990283,9,0,16,No,7213697,3463697,12,1,19,Yes,19486911,13003161,14,3,25,Yes,21811038,13005566,15,1,27,Yes,20600332,13005566,11,0,19,Yes,17646697,13009108,5,0,7
The Fallen,113545367,28,126,0,Yes,16361863,12961863,14,1,25,Yes,15712160,12962160,12,1,17,Yes,18793940,12992690,14,3,24,Yes,21528031,12996778,15,1,26,Yes,20917969,13016078,12,1,20,Yes,20231404,13013964,8,0,14
Mace Marauder,116596523,59,129,0,Yes,16510256,13510256,14,1,24,Yes,16932068,13557068,13,1,19,Yes,20024416,13556916,15,4,25,Yes,21872010,13560132,15,1,25,Yes,21198258,13561811,13,2,21,Yes,20059515,13563819,9,0,15
Marl Jewel,90693110,10,79,1,No,171904,171904,0,1,0,Yes,16275985,13150985,11,1,17,Yes,19293485,13150985,14,4,23,Yes,19948689,13154155,13,1,21,Yes,17513138,13154155,8,0,12,Yes,17489909,13159445,4,0,6
mini mojo2,109274997,15,113,0,Yes,15629625,12829625,12,1,22,Yes,16079625,12829625,12,1,18,Yes,19313360,12829610,14,4,25,Yes,21641763,12836291,15,1,27,Yes,19443869,12836291,10,1,15,Yes,17166755,12836291,4,0,6
BLUE POGO,114194901,17,119,0,Yes,16171007,13271007,14,1,23,Yes,16438528,13313528,13,1,17,Yes,19457034,13314534,14,4,23,Yes,22123933,13318461,15,1,27,Yes,20911468,13316702,13,1,19,Yes,19092931,13318979,7,0,10
Cliquor,98309807,21,91,0,No,261741,261741,0,1,0,Yes,16552893,13552893,11,1,16,Yes,19521229,13557479,14,4,22,Yes,21872111,13560233,15,1,25,Yes,21185086,13557414,12,1,19,Yes,18916747,13557414,7,0,9
Raynorel,126427310,37,146,0,Yes,17544088,14144088,14,1,25,Yes,17433161,14183161,14,1,21,Yes,21022594,14197594,15,4,27,Yes,23222543,14197696,16,1,28,Yes,23729544,14197696,14,2,25,Yes,23475380,14200202,12,0,20
Legion of Boom,84704714,29,93,0,No,928613,528613,2,1,4,Yes,16110745,12985745,12,1,17,Yes,18789464,12988214,14,4,24,No,10754753,3608813,13,1,23,Yes,20057763,13011435,12,2,17,Yes,18063376,13011168,5,0,8
Ob1kin0be,75459791,25,89,2,No,113843,113843,0,0,0,Yes,15750790,12750790,11,1,16,Yes,18384081,12761581,14,4,23,No,12246322,4113194,14,1,24,No,10412185,3585232,11,0,16,Yes,18552570,12778618,6,0,10
Scarif Moses,116676861,115,117,1,Yes,16709171,13909171,14,1,22,Yes,17408819,13908819,14,1,20,Yes,19537722,13915222,15,4,23,Yes,21753163,13934879,15,1,23,Yes,21252957,13932410,12,2,18,Yes,20015029,13933952,7,0,11
Wagz,65153362,45,87,0,No,716696,716696,0,1,0,No,6940918,3690918,12,1,18,Yes,19625990,13142240,14,4,25,No,10403947,4444257,14,1,20,No,10711427,3610255,11,1,17,Yes,16754384,13145664,5,0,7
Marka Ragnos Σ,113240017,62,130,0,Yes,17865235,14465235,14,1,25,No,5717583,3342583,11,1,14,Yes,21321370,14496370,15,4,27,Yes,23305992,14500520,15,1,27,Yes,23308682,14498578,13,2,23,Yes,21721155,14503715,8,0,14
Jsmith9090,98350782,78,114,11,Yes,15657606,12657606,14,0,24,No,7009549,4259549,12,1,17,Yes,18530923,12225923,14,4,24,Yes,21476826,12671354,15,1,27,Yes,19812315,12669462,11,0,16,Yes,15863563,12669462,6,0,6
Lhysa,108596798,32,115,0,Yes,15556903,12656903,14,0,23,Yes,15966341,12716341,12,1,18,Yes,19009109,12720359,15,4,26,Yes,20760271,12722612,14,1,24,Yes,19637051,12722348,11,0,16,Yes,17667123,12722409,6,0,8
KingChris,95243000,29,88,0,No,371680,371680,0,1,0,Yes,16372707,13122707,11,1,18,Yes,18912452,13127452,14,4,21,Yes,21591485,13127263,15,1,25,Yes,20228435,13127263,12,1,17,Yes,17766241,13128652,5,0,7
Rosey,91510138,33,86,0,No,871332,471332,2,0,4,Yes,16040978,12790978,12,1,18,Yes,18417592,12795092,14,3,23,Yes,21052633,12795599,15,1,25,Yes,18001455,12795684,9,1,10,Yes,17126148,12795684,5,0,6
Lamplighter,113183242,22,120,0,Yes,16333210,13333210,14,0,24,Yes,16718822,13343822,14,1,19,Yes,18817372,13357372,14,4,22,Yes,21181565,13363281,15,1,26,Yes,20994844,13400078,13,0,19,Yes,19137429,13363477,6,0,10
Soup888,108814683,14,98,0,Yes,13404346,13004346,2,1,4,Yes,16131156,13006156,12,1,17,Yes,18808731,13007481,14,3,24,Yes,21265577,13008543,15,2,25,Yes,20831582,13008666,11,1,19,Yes,18373291,13013958,7,0,9
Rolfey81,110670714,28,116,0,Yes,16376024,13076024,14,1,24,Yes,16455583,13080583,12,1,19,Yes,19567750,13084000,14,4,25,Yes,20629205,13085140,15,1,25,Yes,19915758,13088805,10,1,16,Yes,17726394,13088805,5,0,7
Leroy Jenkins,108562677,29,98,0,Yes,13023091,13023091,0,0,0,Yes,16569064,13069064,12,1,20,Yes,19555321,13071571,14,3,25,Yes,20892768,13074484,14,1,26,Yes,19365741,13078451,13,0,16,Yes,19156692,13075615,8,0,11
