Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Wagz,73691085,29,57,0,No,180380,180380,0,1,0,No,192194,192194,0,1,0,Yes,16768328,13014578,8,4,13,Yes,20339268,13014578,14,1,24,Yes,18142514,13015718,9,1,12,Yes,18068401,13016193,5,0,8
Marka Ragnos Σ,123488692,69,133,0,Yes,17249500,14349500,14,1,23,Yes,18110653,14360653,14,1,22,Yes,21191597,14366597,15,4,27,Yes,23166589,14361117,15,1,27,Yes,22900066,14364181,13,2,22,Yes,20870287,14374591,7,0,12
Jsmith9090,102060019,72,113,15,Yes,15862551,12562551,14,0,24,Yes,15689633,12564633,12,1,17,Yes,17428767,10945017,14,4,25,No,18461520,9930267,15,1,26,Yes,18138012,12563691,10,0,13,Yes,16479536,12563691,6,0,8
Lhysa,107868544,35,115,0,Yes,15853310,12553310,14,0,24,Yes,15806433,12556433,12,1,18,Yes,19414062,12589062,15,4,27,Yes,20593946,12556287,14,1,24,Yes,18678060,12572851,11,0,14,Yes,17522733,12578019,6,0,8
KingChris,84368503,32,88,0,No,371680,371680,0,1,0,No,6475182,3225182,11,1,18,Yes,19522886,13039136,14,4,25,Yes,20860078,13041794,14,1,23,Yes,19456711,13044377,10,1,15,Yes,17681966,13044377,5,0,7
Rosey,90195359,34,81,0,No,449614,249614,1,0,2,Yes,15840223,12715223,12,1,17,Yes,18845094,12718844,14,3,23,Yes,20631743,12715959,15,1,23,Yes,17074786,12715803,8,1,9,Yes,17353899,12716310,5,0,7
Lamplighter,109705399,22,116,0,Yes,16202183,13202183,14,0,24,Yes,16706458,13206458,14,1,20,Yes,19516420,13211420,14,4,24,Yes,21398434,13208431,15,1,24,Yes,19429266,13245082,13,0,18,Yes,16452638,13258537,6,0,6
Soup888,103573476,14,81,0,Yes,13103894,12903894,1,1,2,Yes,15653846,12903846,12,1,14,Yes,17683734,12906234,14,4,22,Yes,20066501,12906342,14,1,21,Yes,19514060,12906482,11,1,15,Yes,17551441,12913852,6,0,7
Rolfey81,106353832,23,102,0,Yes,14872882,12972882,10,1,16,Yes,15848178,12973178,12,1,18,Yes,19279165,12974165,14,4,24,Yes,21232278,12975244,15,1,25,Yes,19253759,12975244,10,0,14,Yes,15867570,12980594,5,0,5
Leroy Jenkins,95511022,18,104,0,No,5213060,2613060,12,0,23,Yes,16449715,12949715,13,1,20,Yes,18897215,12949715,14,3,22,Yes,18300029,12949715,11,1,19,Yes,19063699,12949715,9,0,13,Yes,17587304,12949715,6,0,7
